R_kpc,hybrid_p5,hybrid_p16,hybrid_center,hybrid_p84,hybrid_p95,weight_McGaugh2018_Imig2025,weight_Wang2026_Lian2022,weight_McMillan2017,weight_deSalas2019_B2,center_McGaugh2018_Imig2025,center_Wang2026_Lian2022,center_McMillan2017,center_deSalas2019_B2
5.6098075,136.970108,173.415079,189.907875,206.400672,208.354197,0.446853009,0.0878536833,0.227007229,0.238286079,200.124094,145.33794,186.26676,190.650867
5.6248408,136.938411,173.400022,189.959934,206.519846,208.549239,0.446699917,0.0879745122,0.227123544,0.238202027,200.311431,145.304306,186.24812,190.579511
5.6399144,136.905464,173.38296,190.010925,206.63889,208.744171,0.44654569,0.0880958736,0.227240131,0.238118305,200.498663,145.269347,186.227988,190.506182
5.6550284,136.871261,173.363878,190.060839,206.7578,208.938989,0.446390331,0.0882177689,0.227356991,0.238034909,200.685786,145.233054,186.206352,190.430863
5.6701829,136.835788,173.342758,190.109667,206.876575,209.133694,0.446233841,0.088340199,0.227474121,0.237951839,200.8728,145.195414,186.1832,190.353536
5.685378,136.799035,173.319581,190.157396,206.995212,209.328282,0.446076224,0.0884631652,0.22759152,0.237869091,201.059702,145.156416,186.158519,190.274185
5.7006139,136.760992,173.29433,190.204019,207.113709,209.522753,0.445917481,0.0885866694,0.227709186,0.237786664,201.246491,145.116049,186.132298,190.192792
5.7158905,136.721649,173.266986,190.249524,207.232062,209.717103,0.445757616,0.0887107111,0.227827117,0.237704556,201.433164,145.074302,186.104522,190.109339
5.7312081,136.680993,173.237533,190.293901,207.35027,209.911331,0.44559663,0.0888352931,0.227945313,0.237622764,201.61972,145.031162,186.07518,190.023809
5.7465668,136.639014,173.205952,190.33714,207.468329,210.105435,0.445434526,0.0889604163,0.228063771,0.237541287,201.806157,144.986619,186.044259,189.936183
5.7619666,136.624005,173.190955,190.392705,207.594455,210.30794,0.445271307,0.089086081,0.22818249,0.237460122,202.000663,144.970693,186.024596,189.864214
5.7774077,136.616055,173.179396,190.451109,207.722823,210.512827,0.445106975,0.0892122891,0.228301468,0.237379268,202.197457,144.962257,186.007142,189.795398
5.7928901,136.607058,173.165903,190.508488,207.851073,210.71765,0.444941534,0.0893390409,0.228420703,0.237298722,202.394189,144.95271,185.988208,189.724638
5.8084141,136.597005,173.150461,190.564834,207.979206,210.922411,0.444774985,0.0894663388,0.228540194,0.237218482,202.590862,144.942043,185.967781,189.651915
5.8239797,136.585888,173.133053,190.620136,208.107218,211.127107,0.444607331,0.0895941832,0.22865994,0.237138546,202.787472,144.930247,185.94585,189.577214
5.8395869,136.573698,173.113661,190.674383,208.235105,211.331733,0.444438576,0.0897225742,0.228779936,0.237058913,202.984015,144.917312,185.922403,189.500517
5.855236,136.560427,173.092269,190.727568,208.362867,211.536292,0.444268722,0.0898515144,0.228900183,0.23697958,203.180494,144.90323,185.897426,189.421807
5.870927,136.546065,173.06886,190.77968,208.490499,211.740778,0.444097773,0.0899810038,0.229020679,0.236900544,203.376903,144.887991,185.870908,189.341066
