R_kpc,hybrid_p5,hybrid_p16,hybrid_center,hybrid_p84,hybrid_p95,weight_McGaugh2018_Imig2025,weight_Wang2026_Lian2022,weight_McMillan2017,weight_deSalas2019_B2,center_McGaugh2018_Imig2025,center_Wang2026_Lian2022,center_McMillan2017,center_deSalas2019_B2
1.6373266,174.182827,177.111987,181.65332,186.194653,189.123813,1,0,0,0,181.65332,168.802583,171.406602,187.544584
1.6424119,174.114919,177.042937,181.582499,186.122061,189.050079,1,0,0,0,181.582499,168.790998,171.490344,187.569361
1.647513,174.044666,176.971502,181.509233,186.046964,188.9738,1,0,0,0,181.509233,168.777672,171.573171,187.592554
1.6526299,173.972046,176.897662,181.433499,185.969336,188.894952,1,0,0,0,181.433499,168.762591,171.655074,187.614149
1.6577627,173.897035,176.821389,181.355271,185.889153,188.813507,1,0,0,0,181.355271,168.745736,171.736045,187.634131
1.6629115,173.819609,176.742661,181.274524,185.806387,188.729439,1,0,0,0,181.274524,168.727091,171.816077,187.652486
1.6680762,173.739745,176.661454,181.191235,185.721016,188.642725,1,0,0,0,181.191235,168.706641,171.895159,187.669197
1.673257,173.657418,176.577743,181.105377,185.633011,188.553336,1,0,0,0,181.105377,168.684366,171.973284,187.684249
1.6784539,173.572603,176.491501,181.016924,185.542347,188.461245,1,0,0,0,181.016924,168.66025,172.050442,187.697628
1.6836669,173.485275,176.402705,180.925851,185.448997,188.366427,1,0,0,0,180.925851,168.634275,172.126625,187.709318
1.6888962,173.395409,176.311327,180.83213,185.352933,188.268851,1,0,0,0,180.83213,168.606424,172.201824,187.719303
1.6941416,173.302982,176.217346,180.735739,185.254132,188.168496,1,0,0,0,180.735739,168.576679,172.276028,187.727567
1.6994034,173.207963,176.120729,180.636645,185.152561,188.065327,1,0,0,0,180.636645,168.545021,172.349232,187.734095
1.7046815,173.110329,176.021453,180.534824,185.048195,187.959319,1,0,0,0,180.534824,168.511433,172.421423,187.738869
