scenario,label,s,chi2_radial,chi2_vertical,chi2_total,chi2_nu,chi2_nu_free_sR_sz,delta_chi2
fig2b_81,qcopula_81,1.9365725559642004,1402.8387769744534,61.42890083496173,1464.267677809415,7.509065014407257,7.505166889513483,8.265301243799286
fig2b_82,qcopula_82,1.9291977825876492,740.2412357036588,72.31357516007517,812.554810863734,4.166947748019149,4.135288333213237,10.308874220366192
fig2b_83,qcopula_83,1.8803113265461846,441.69087795821713,190.35034151693472,632.0412194751518,3.2412370229494964,2.71089353094323,106.12787447216522
fig2b_84,qcopula_84,2.0422892528270515,486.01370033015,103.56061223387988,589.5743125640299,3.0234580131488715,2.962716254212457,14.807359246813235
fig2b_85,qcopula_85,2.21414099126782,488.1051968150574,89.49618289986392,577.6013797149213,2.9620583575124173,2.848368822037415,25.01782823966289
fig2b_86,qcopula_86,2.0240799341424016,840.0020440335456,91.35460100150524,931.3566450350509,4.776187923256671,4.800682807054743,0.024180466430721026
fig2b_87,qcopula_87,2.0309625578862285,342.23139377005884,252.69272447515908,594.9241182452179,3.0508929140780405,2.242273728237508,159.92301496714128
fig2b_88,qcopula_88,2.0469952778905527,624.3261936775316,131.73660617128445,756.062799848816,3.8772451274298256,3.8437413112819905,10.376985460109836
fig2b_89,qcopula_89,2.5315141177800506,380.6739436977608,160.88039619592,541.5543398936809,2.7772017430445173,2.5424539057939914,48.31828216964652
fig2b_90,qcopula_90,1.9887003617379821,520.280572710462,319.0666460884308,839.3472187988928,4.304344711789193,3.028464586637628,251.82508899119296
fig2b_91,qcopula_91,2.0805729275685865,346.1850360355173,253.9045994860001,600.0896355215175,3.0773827462641923,2.24298261450424,164.9510083076949
fig2b_92,qcopula_92,2.1759198418019805,420.6229679046146,274.6042026617058,695.2271705663204,3.5652675413657455,2.7260234824893,166.37861496339622
fig2b_93,qcopula_93,2.1076281681033464,534.9379327764186,274.3818402252482,809.3197730016668,4.150357810264958,3.114298794750379,205.1458068200933
fig2b_94,qcopula_94,2.140437509063735,500.50447537368336,152.31176891494545,652.8162442886288,3.347775611736558,3.1703650972668793,37.76541541885422
fig2b_95,qcopula_95,2.411763999754555,457.57217441566047,103.88890714468324,561.4610815603437,2.8792875977453525,2.889294304921233,0.9379864056244287
fig2b_96,qcopula_96,2.4577601041168466,349.8014002737567,128.2371181798799,478.0385184536366,2.451479581813521,2.3140892178552632,29.10521018971548
fig2b_97,qcopula_97,2.214404126799837,873.934980738654,68.26946734675292,942.2044480854069,4.831817682489266,4.829715663160885,5.239609432195266
fig2b_98,qcopula_98,1.8912689538592404,570.8035156216827,135.36718864846128,706.1707042701439,3.621388227026379,3.390840213765744,48.34770279958957
fig2b_99,qcopula_99,1.9961832967325013,658.8624612615206,125.65420892058512,784.5166701821057,4.0231624111902855,3.7582211735385713,55.421762515622845
fig2b_100,qcopula_100,2.3703878309770463,470.8554872353295,98.71370431640632,569.5691915517358,2.9208676489832603,2.9329320345514622,0.5803768487521666
