R_kpc,hybrid_p5,hybrid_p16,hybrid_center,hybrid_p84,hybrid_p95,weight_McGaugh2018_Imig2025,weight_Wang2026_Lian2022,weight_McMillan2017,weight_deSalas2019_B2,weight_Barros2016_MI,center_McGaugh2018_Imig2025,center_Wang2026_Lian2022,center_McMillan2017,center_deSalas2019_B2,center_Barros2016_MI
1.2975619,158.384762,174.4697,183.126717,191.783735,194.171848,0.816971883,0.183028117,0,0,0,186.501955,168.060866,164.407483,185.657266,242.542335
1.301592,158.424028,174.483833,183.116611,191.749388,194.144682,0.817166991,0.182833009,0,0,0,186.475862,168.102531,164.516268,185.7056,242.40303
1.3056345,158.46212,174.496287,183.104583,191.712878,194.115384,0.817362453,0.182637547,0,0,0,186.447721,168.14295,164.624405,185.752577,242.260003
1.3096896,158.499029,174.507045,183.090613,191.674181,194.08393,0.817558275,0.182441725,0,0,0,186.41751,168.182114,164.731893,185.798189,242.113209
1.3137573,158.534742,174.516088,183.074684,191.63328,194.050303,0.817754455,0.182245545,0,0,0,186.385211,168.220009,164.838724,185.84242,241.962613
1.3178376,158.569251,174.523401,183.056776,191.590151,194.01448,0.817950988,0.182049012,0,0,0,186.350803,168.256626,164.944891,185.885259,241.808176
1.3219306,158.602542,174.528964,183.036871,191.544777,193.976441,0.818147877,0.181852123,0,0,0,186.314267,168.291951,165.050389,185.926693,241.649856
1.3260364,158.634606,174.532759,183.014947,191.497134,193.936163,0.818345123,0.181654877,0,0,0,186.27558,168.325974,165.155213,185.96671,241.487612
1.3301548,158.66543,174.53477,182.990987,191.447204,193.893628,0.818542711,0.181457289,0,0,0,186.234725,168.358681,165.259352,186.005294,241.321412
1.3342861,158.695004,174.534976,182.96497,191.394963,193.848812,0.818740654,0.181259346,0,0,0,186.191679,168.390062,165.362804,186.042435,241.151206
1.3384302,158.723317,174.53336,182.936874,191.340389,193.801692,0.818938943,0.181061057,0,0,0,186.14642,168.420104,165.46556,186.078119,240.976956
1.3425872,158.750355,174.529902,182.906683,191.283463,193.752247,0.819137579,0.180862421,0,0,0,186.098929,168.448794,165.567615,186.112332,240.798618
1.346757,158.776107,174.524584,182.874374,191.224163,193.700457,0.819336554,0.180663446,0,0,0,186.049184,168.47612,165.668959,186.14506,240.616157
1.3509398,158.800562,174.517386,182.839926,191.162466,193.646296,0.819535873,0.180464127,0,0,0,185.997163,168.502069,165.769589,186.17629,240.429521
1.3551357,158.823709,174.508288,182.803317,191.098346,193.58974,0.819735537,0.180264463,0,0,0,185.942841,168.52663,165.869499,186.206009,240.238664
1.3593445,158.845534,174.497271,182.764529,191.031787,193.530771,0.819935533,0.180064467,0,0,0,185.886201,168.549788,165.968678,186.234201,240.043552
1.3635664,158.866025,174.484313,182.723537,190.962761,193.46936,0.820135867,0.179864133,0,0,0,185.827216,168.571531,166.067121,186.260854,239.844134
1.3678015,158.88517,174.469395,182.680321,190.891247,193.405486,0.820336539,0.179663461,0,0,0,185.765865,168.591846,166.164825,186.285953,239.64036
1.3720497,158.902958,174.452497,182.634859,190.817221,193.339124,0.820537541,0.179462459,0,0,0,185.702124,168.61072,166.261777,186.309484,239.432191
1.376311,158.919374,174.433597,182.587129,190.740662,193.270252,0.820738869,0.179261131,0,0,0,185.635973,168.628139,166.357971,186.331431,239.219582
1.3805856,158.934407,174.412675,182.537108,190.661542,193.198843,0.820940528,0.179059472,0,0,0,185.567384,168.644091,166.453403,186.351781,239.002477
1.3848735,158.948044,174.389707,182.484772,190.579838,193.124871,0.821142515,0.178857485,0,0,0,185.496334,168.658561,166.548064,186.370519,238.780831
1.3891747,158.960271,174.364673,182.4301,190.495527,193.048313,0.821344824,0.178655176,0,0,0,185.4228,168.671535,166.641948,186.387629,238.554596
1.3934893,158.971076,174.337551,182.373067,190.408584,192.969142,0.821547457,0.178452543,0,0,0,185.346757,168.683,166.735046,186.403098,238.32372
1.3978173,158.980446,174.308317,182.31365,190.318982,192.887333,0.82175041,0.17824959,0,0,0,185.268179,168.692942,166.827353,186.416909,238.088154
1.4021587,158.988367,174.276951,182.251826,190.226701,192.802861,0.821953678,0.178046322,0,0,0,185.187044,168.701347,166.918858,186.429047,237.847849
1.4065136,158.994825,174.243429,182.18757,190.131712,192.715698,0.822157261,0.177842739,0,0,0,185.103324,168.7082,167.009557,186.439497,237.602751
1.410882,158.999808,174.207726,182.120858,190.03399,192.625818,0.822361156,0.177638844,0,0,0,185.016994,168.713487,167.09944,186.448242,237.352809
1.415264,159.003301,174.169819,182.051664,189.933508,192.533192,0.822565362,0.177434638,0,0,0,184.928027,168.717193,167.188502,186.455268,237.097966
1.4196596,159.00529,174.129686,181.979964,189.830242,192.437796,0.822769876,0.177230124,0,0,0,184.836399,168.719304,167.276733,186.460558,236.83817
1.4240688,159.005761,174.087301,181.905733,189.724166,192.3396,0.822974692,0.177025308,0,0,0,184.742082,168.719804,167.364125,186.464096,236.57337
1.4284918,159.004701,174.042638,181.828944,189.615249,192.238575,0.823179815,0.176820185,0,0,0,184.645047,168.718679,167.450674,186.465865,236.303499
1.4329285,159.002095,173.995674,181.749571,189.503468,192.134693,0.823385237,0.176614763,0,0,0,184.545269,168.715914,167.536369,186.465849,236.028509
1.4373789,158.997928,173.946384,181.66759,189.388796,192.027928,0.823590952,0.176409048,0,0,0,184.442721,168.711492,167.621201,186.464032,235.748346
1.4418432,158.992186,173.89474,181.582972,189.271204,191.918247,0.823796966,0.176203034,0,0,0,184.337373,168.705399,167.705165,186.460396,235.462941
1.4463214,158.984854,173.840717,181.495689,189.150662,191.805622,0.824003273,0.175996727,0,0,0,184.229196,168.697619,167.788253,186.454924,235.172237
1.4508134,158.975917,173.784289,181.405718,189.027147,191.690025,0.824209864,0.175790136,0,0,0,184.118165,168.688136,167.870453,186.4476,234.876184
1.4553194,158.96536,173.725428,181.313027,188.900627,191.571422,0.824416743,0.175583257,0,0,0,184.004247,168.676934,167.951761,186.438406,234.574709
1.4598394,158.953167,173.664107,181.217591,188.771075,191.449784,0.824623906,0.175376094,0,0,0,183.887414,168.663997,168.032167,186.427323,234.267754
1.4643735,158.939323,173.600296,181.119378,188.638459,191.325079,0.824831353,0.175168647,0,0,0,183.767635,168.649307,168.111663,186.414336,233.95525
1.4689216,158.923814,173.533971,181.018363,188.502755,191.197278,0.825039073,0.174960927,0,0,0,183.644882,168.63285,168.19024,186.399425,233.637145
1.4734838,158.906623,173.465102,180.914516,188.363931,191.066348,0.825247067,0.174752933,0,0,0,183.519124,168.614609,168.26789,186.382572,233.313367
1.4780603,158.887733,173.393656,180.807804,188.221952,190.932252,0.825455338,0.174544662,0,0,0,183.390325,168.594565,168.344606,186.363759,232.983841
1.4826509,158.86713,173.319609,180.698203,188.076797,190.794965,0.825663873,0.174336127,0,0,0,183.258461,168.572703,168.420376,186.342968,232.648515
1.4872558,158.844795,173.242926,180.585678,187.92843,190.654449,0.825872675,0.174127325,0,0,0,183.123495,168.549004,168.495194,186.32018,232.307311
1.491875,158.820714,173.163579,180.4702,187.776821,190.51067,0.826081738,0.173918262,0,0,0,182.985396,168.523452,168.569051,186.295376,231.960161
1.4965085,158.79487,173.081536,180.351738,187.62194,190.363597,0.826291059,0.173708941,0,0,0,182.844132,168.496029,168.641936,186.268536,231.606997
1.5011564,158.78176,173.021626,180.260808,187.499991,190.248307,0.826500635,0.173499365,0,0,0,182.733396,168.482118,168.722566,186.263038,231.313135
1.5058188,158.811082,173.034837,180.259998,187.485159,190.236731,0.826710466,0.173289534,0,0,0,182.722277,168.513231,168.828768,186.326754,231.212712
1.5104957,158.839138,173.046409,180.257396,187.468382,190.223209,0.826920547,0.173079453,0,0,0,182.709289,168.543001,168.934266,186.389244,231.109072
1.515187,158.865916,173.056323,180.252983,187.449642,190.207721,0.827130868,0.172869132,0,0,0,182.694413,168.571415,169.039049,186.450494,231.002184
1.519893,158.891406,173.064565,180.246742,187.428919,190.190249,0.827341436,0.172658564,0,0,0,182.677631,168.598462,169.143116,186.510498,230.892012
1.5246135,158.915594,173.071117,180.238656,187.406196,190.170774,0.827552238,0.172447762,0,0,0,182.658926,168.624128,169.246455,186.56924,230.778527
1.5293488,158.93847,173.075962,180.228708,187.381455,190.149278,0.82776328,0.17223672,0,0,0,182.638279,168.648402,169.349065,186.626712,230.661691
1.5340987,158.960022,173.079084,180.21688,187.354676,190.125742,0.827974549,0.172025451,0,0,0,182.615672,168.67127,169.450934,186.6829,230.541476
1.5388634,158.980237,173.080466,180.203153,187.32584,190.100144,0.828186047,0.171813953,0,0,0,182.591086,168.69272,169.552058,186.737793,230.417844
1.5436428,158.999101,173.08009,180.18751,187.29493,190.072469,0.828397765,0.171602235,0,0,0,182.564504,168.712737,169.652426,186.791378,230.290764
1.5484372,159.016604,173.077938,180.16993,187.261923,190.042693,0.828609709,0.171390291,0,0,0,182.535904,168.731309,169.752038,186.843646,230.160195
1.5532464,159.032733,173.073993,180.150397,187.226801,190.010797,0.828821865,0.171178135,0,0,0,182.505268,168.748423,169.85088,186.894582,230.026108
1.5580705,159.047473,173.068237,180.128892,187.189548,189.976764,0.829034232,0.170965768,0,0,0,182.472579,168.764064,169.948947,186.944175,229.888466
1.5629097,159.060815,173.060651,180.105394,187.150137,189.940568,0.829246812,0.170753188,0,0,0,182.437813,168.778221,170.046235,186.992413,229.747228
1.5677638,159.072742,173.051218,180.079886,187.108553,189.902193,0.82945959,0.17054041,0,0,0,182.400954,168.790877,170.142731,187.039282,229.602365
1.5726331,159.083245,173.039919,180.052346,187.064774,189.861615,0.829672574,0.170327426,0,0,0,182.361979,168.802021,170.238434,187.084772,229.453832
1.5775174,159.092307,173.026735,180.022758,187.01878,189.818817,0.829885749,0.170114251,0,0,0,182.320871,168.811637,170.33333,187.128868,229.301598
1.5824169,159.099916,173.011646,179.991098,186.970549,189.773773,0.830099117,0.169900883,0,0,0,182.277606,168.819711,170.427415,187.171558,229.145621
1.5873317,159.10606,172.994635,179.957348,186.920061,189.726463,0.830312675,0.169687325,0,0,0,182.232165,168.82623,170.520683,187.21283,228.985861
1.5922617,159.110724,172.97568,179.921487,186.867294,189.676866,0.830526415,0.169473585,0,0,0,182.184527,168.831179,170.613123,187.252669,228.822282
1.597207,159.113893,172.954763,179.883495,186.812227,189.624958,0.830740332,0.169259668,0,0,0,182.13467,168.834542,170.704728,187.291064,228.654844
1.6021677,159.115556,172.931863,179.84335,186.754837,189.570719,0.830954426,0.169045574,0,0,0,182.082573,168.836306,170.795493,187.328001,228.483505
1.6071438,159.115696,172.906961,179.801033,186.695105,189.514125,0.83116869,0.16883131,0,0,0,182.028215,168.836455,170.885407,187.363466,228.308224
1.6121354,159.1143,172.880035,179.75652,186.633005,189.455153,0.831383122,0.168616878,0,0,0,181.971572,168.834974,170.974465,187.397446,228.12896
1.6171424,159.111354,172.851066,179.709792,186.568519,189.393782,0.83159771,0.16840229,0,0,0,181.912625,168.831848,171.062655,187.429926,227.945676
1.622165,159.106843,172.820031,179.660825,186.501619,189.329985,0.831812457,0.168187543,0,0,0,181.851348,168.827061,171.149973,187.460895,227.758322
1.6272032,159.100753,172.786911,179.609599,186.432287,189.263741,0.832027355,0.167972645,0,0,0,181.787721,168.820599,171.236409,187.490336,227.566859
1.6322571,159.093068,172.751683,179.556089,186.360496,189.195024,0.832242403,0.167757597,0,0,0,181.721718,168.812445,171.321955,187.518238,227.371241
1.6373266,159.083774,172.714327,179.500277,186.286226,189.123813,0.832457589,0.167542411,0,0,0,181.65332,168.802583,171.406602,187.544584,227.171429
1.6424119,159.072856,172.674818,179.442134,186.209451,189.050079,0.832672915,0.167327085,0,0,0,181.582499,168.790998,171.490344,187.569361,226.967371
1.647513,159.060298,172.633136,179.381641,186.130146,188.9738,0.832888374,0.167111626,0,0,0,181.509233,168.777672,171.573171,187.592554,226.759025
1.6526299,159.046085,172.589259,179.318775,186.048291,188.894952,0.833103959,0.166896041,0,0,0,181.433499,168.762591,171.655074,187.614149,226.546347
1.6577627,159.0302,172.543161,179.25351,185.963858,188.813507,0.833319667,0.166680333,0,0,0,181.355271,168.745736,171.736045,187.634131,226.329287
1.6629115,159.012629,172.494822,179.185822,185.876822,188.729439,0.833535495,0.166464505,0,0,0,181.274524,168.727091,171.816077,187.652486,226.107796
1.6680762,158.993356,172.444218,179.115689,185.787161,188.642725,0.833751432,0.166248568,0,0,0,181.191235,168.706641,171.895159,187.669197,225.881831
1.673257,158.972364,172.391323,179.043085,185.694847,188.553336,0.833967478,0.166032522,0,0,0,181.105377,168.684366,171.973284,187.684249,225.651338
1.6784539,158.949636,172.336115,178.967985,185.599855,188.461245,0.834183627,0.165816373,0,0,0,181.016924,168.66025,172.050442,187.697628,225.416269
1.6836669,158.925157,172.278569,178.890364,185.50216,188.366427,0.834399872,0.165600128,0,0,0,180.925851,168.634275,172.126625,187.709318,225.176576
1.6888962,158.898909,172.21866,178.810196,185.401733,188.268851,0.834616212,0.165383788,0,0,0,180.83213,168.606424,172.201824,187.719303,224.932201
1.6941416,158.870877,172.156364,178.727459,185.298554,188.168496,0.834832633,0.165167367,0,0,0,180.735739,168.576679,172.276028,187.727567,224.683103
1.6994034,158.841041,172.091654,178.642121,185.192588,188.065327,0.835049138,0.164950862,0,0,0,180.636645,168.545021,172.349232,187.734095,224.429218
1.7046815,158.809387,172.024505,178.554159,185.083814,187.959319,0.835265718,0.164734282,0,0,0,180.534824,168.511433,172.421423,187.738869,224.1705
1.7099759,158.775897,171.954893,178.463548,184.972204,187.850444,0.835482363,0.164517637,0,0,0,180.43025,168.475897,172.492591,187.741875,223.906896
1.7152869,158.740551,171.882786,178.370256,184.857726,187.738669,0.835699078,0.164300922,0,0,0,180.32289,168.438391,172.562732,187.743094,223.638341
1.7206143,158.703333,171.808163,178.274259,184.740356,187.623968,0.835915848,0.164084152,0,0,0,180.21272,168.3989,172.631831,187.742511,223.364789
1.7259583,158.664225,171.730993,178.175529,184.620064,187.50631,0.836132673,0.163867327,0,0,0,180.099709,168.357402,172.699881,187.740109,223.086178
