R_kpc,hybrid_p5,hybrid_p16,hybrid_center,hybrid_p84,hybrid_p95,weight_McGaugh2018_Imig2025,weight_Wang2026_Lian2022,weight_McMillan2017,weight_deSalas2019_B2,weight_Barros2016_MI,center_McGaugh2018_Imig2025,center_Wang2026_Lian2022,center_McMillan2017,center_deSalas2019_B2,center_Barros2016_MI
2.1311311,158.196176,171.635403,180.488535,189.341667,226.46402,0.7,0.03,0.1,0.15,0.02,178.413598,167.860759,177.746532,190.259248,212.482661
2.1377501,158.183933,171.651624,180.499109,189.346593,226.314193,0.7,0.03,0.1,0.15,0.02,178.416653,167.847768,177.809018,190.295166,212.342084
2.1443896,158.170046,171.666242,180.508031,189.349821,226.160678,0.7,0.03,0.1,0.15,0.02,178.418012,167.833033,177.870348,190.329574,212.198047
2.1510498,158.1545,171.679242,180.515289,189.351336,226.003435,0.7,0.03,0.1,0.15,0.02,178.417661,167.816537,177.930513,190.36246,212.050511
2.1577306,158.137279,171.690607,180.520866,189.351125,225.842427,0.7,0.03,0.1,0.15,0.02,178.415583,167.798264,177.9895,190.393808,211.899444
2.1644322,158.118367,171.700318,180.524745,189.349173,225.677613,0.7,0.03,0.1,0.15,0.02,178.411761,167.778197,178.047299,190.423605,211.744805
2.1711546,158.097749,171.708359,180.526912,189.345466,225.508956,0.7,0.03,0.1,0.15,0.02,178.40618,167.756319,178.103901,190.451836,211.58656
2.1778979,158.075407,171.714712,180.52735,189.339989,225.336413,0.7,0.03,0.1,0.15,0.02,178.398823,167.732612,178.159293,190.478487,211.42467
2.1846621,158.051326,171.719358,180.526043,189.332727,225.159946,0.7,0.03,0.1,0.15,0.02,178.389673,167.70706,178.213464,190.503543,211.259097
2.1914474,158.025488,171.722281,180.522974,189.323667,224.979509,0.7,0.03,0.1,0.15,0.02,178.378714,167.679644,178.266405,190.52699,211.0898
2.1982537,157.997878,171.723461,180.518127,189.312793,224.795066,0.7,0.03,0.1,0.15,0.02,178.365928,167.650347,178.318101,190.548813,210.916744
2.2050811,157.968478,171.722878,180.511485,189.300091,224.606573,0.7,0.03,0.1,0.15,0.02,178.351298,167.619151,178.368544,190.568996,210.739888
2.2119298,157.937272,171.720516,180.503031,189.285545,224.413983,0.7,0.03,0.1,0.15,0.02,178.334807,167.586038,178.417721,190.587525,210.559188
2.2187997,157.904241,171.716353,180.492747,189.269141,224.217257,0.7,0.03,0.1,0.15,0.02,178.316437,167.550989,178.46562,190.604384,210.374608
2.2256909,157.869369,171.710372,180.480618,189.250863,224.01635,0.7,0.03,0.1,0.15,0.02,178.296171,167.513987,178.51223,190.619557,210.186104
2.2326036,157.832637,171.702552,180.466624,189.230697,223.811213,0.7,0.03,0.1,0.15,0.02,178.27399,167.475011,178.55754,190.63303,209.993632
2.2395377,157.794029,171.692873,180.450749,189.208626,223.601807,0.7,0.03,0.1,0.15,0.02,178.249876,167.434044,178.601537,190.644786,209.797154
2.2464934,157.753524,171.681315,180.432975,189.184635,223.388079,0.7,0.03,0.1,0.15,0.02,178.223812,167.391065,178.644209,190.65481,209.596621
2.2534707,157.736466,171.712462,180.457617,189.202771,223.248789,0.7,0.03,0.1,0.15,0.02,178.247714,167.372964,178.701919,190.690116,209.465931
2.2604696,157.7435,171.787494,180.525791,189.264088,223.186087,0.7,0.03,0.1,0.15,0.02,178.322891,167.380428,178.775066,190.751374,209.4071
2.2674903,157.749076,171.861489,180.592831,189.324173,223.120625,0.7,0.03,0.1,0.15,0.02,178.397017,167.386345,178.847139,190.811342,209.345679
2.2745328,157.75318,171.934436,180.658726,189.383017,223.052374,0.7,0.03,0.1,0.15,0.02,178.470083,167.3907,178.91813,190.87001,209.281642
2.2815971,157.755799,172.006321,180.723464,189.440606,222.98131,0.7,0.03,0.1,0.15,0.02,178.542076,167.393478,178.988026,190.927363,209.214965
2.2886834,157.756917,172.077138,180.787035,189.496933,222.907402,0.7,0.03,0.1,0.15,0.02,178.612989,167.394665,179.056821,190.983391,209.14562
2.2957917,157.756522,172.146874,180.84943,189.551986,222.830625,0.7,0.03,0.1,0.15,0.02,178.682812,167.394246,179.124502,191.038082,209.073583
2.3029221,157.754599,172.215518,180.910636,189.605754,222.75095,0.7,0.03,0.1,0.15,0.02,178.751534,167.392205,179.19106,191.091423,208.998827
2.3100746,157.751134,172.283058,180.970643,189.658227,222.668348,0.7,0.03,0.1,0.15,0.02,178.819145,167.388529,179.256485,191.143401,208.921325
2.3172494,157.746112,172.349484,181.029439,189.709394,222.58279,0.7,0.03,0.1,0.15,0.02,178.885635,167.3832,179.320766,191.194006,208.841049
2.3244464,157.73952,172.414785,181.087014,189.759243,222.49425,0.7,0.03,0.1,0.15,0.02,178.950994,167.376205,179.383892,191.243222,208.757975
2.3316658,157.731341,172.478947,181.143356,189.807765,222.402694,0.7,0.03,0.1,0.15,0.02,179.015211,167.367526,179.445853,191.291039,208.672072
2.3389076,157.721561,172.541962,181.198455,189.854947,222.308096,0.7,0.03,0.1,0.15,0.02,179.078277,167.357149,179.506639,191.337442,208.583314
2.3461719,157.710165,172.603815,181.252297,189.90078,222.210424,0.7,0.03,0.1,0.15,0.02,179.140179,167.345057,179.566238,191.38242,208.491672
2.3534588,157.697139,172.664496,181.304874,189.945251,222.109646,0.7,0.03,0.1,0.15,0.02,179.200909,167.331235,179.62464,191.425959,208.397116
2.3607682,157.682466,172.723991,181.35617,189.98835,222.005736,0.7,0.03,0.1,0.15,0.02,179.260454,167.315665,179.681833,191.468046,208.299621
2.3681004,157.666131,172.78229,181.406177,190.030065,221.898658,0.7,0.03,0.1,0.15,0.02,179.318805,167.298332,179.737808,191.508667,208.199154
2.3754554,157.648117,172.839379,181.454882,190.070385,221.788381,0.7,0.03,0.1,0.15,0.02,179.37595,167.279218,179.792552,191.54781,208.095685
2.3828332,157.628411,172.895246,181.502272,190.109298,221.674876,0.7,0.03,0.1,0.15,0.02,179.431878,167.258308,179.846054,191.58546,207.989187
2.3902339,157.606994,172.949878,181.548336,190.146793,221.558106,0.7,0.03,0.1,0.15,0.02,179.486578,167.235583,179.898303,191.621604,207.879627
2.3976576,157.583851,173.003263,181.59306,190.182858,221.438042,0.7,0.03,0.1,0.15,0.02,179.540039,167.211026,179.949287,191.656228,207.766975
2.4051044,157.558966,173.055387,181.636434,190.217481,221.314648,0.7,0.03,0.1,0.15,0.02,179.592249,167.184621,179.998996,191.689317,207.651199
2.4125743,157.532322,173.106238,181.678445,190.250652,221.187892,0.7,0.03,0.1,0.15,0.02,179.643198,167.156349,180.047416,191.720859,207.532269
2.4200674,157.503902,173.155801,181.719079,190.282357,221.05774,0.7,0.03,0.1,0.15,0.02,179.692873,167.126193,180.094537,191.750838,207.410152
2.4275838,157.473689,173.204064,181.758325,190.312586,220.924156,0.7,0.03,0.1,0.15,0.02,179.741262,167.094134,180.140347,191.779241,207.284815
2.4351235,157.441667,173.251012,181.796169,190.341325,220.787106,0.7,0.03,0.1,0.15,0.02,179.788355,167.060155,180.184832,191.806052,207.156226
