R_kpc,Baryonic_target_p5,Baryonic_target_p16,Baryonic_target_p50,Baryonic_target_p84,Baryonic_target_p95,Baryonic target_min,Baryonic target_max
2.8612293,170.707706,175.207,188.253011,195.199053,203.206117,170.707706,203.206117
2.8701158,170.800769,175.308765,188.437684,195.386257,203.306904,170.800769,203.306904
2.87903,170.89202,175.431,188.622188,195.574037,203.407395,170.89202,203.407395
2.8879718,170.981428,175.620854,188.806521,195.765905,203.507598,170.981428,203.507598
2.8969414,171.068964,175.815005,188.990683,195.969789,203.607516,171.068964,203.607516
2.9059389,171.154599,175.913768,189.174674,196.174342,203.707159,171.154599,203.707159
2.9149643,171.238303,176.022709,189.358491,196.379579,203.806529,171.238303,203.806529
2.9240177,171.320049,176.198549,189.542134,196.585517,203.905634,171.320049,203.905634
2.9330993,171.399807,176.374113,189.725606,196.792176,204.00448,171.399807,204.00448
2.9422091,171.477549,176.549379,189.908902,196.99957,204.103069,171.477549,204.103069
2.9513471,171.553245,176.724319,190.092022,197.206001,204.201407,171.553245,204.201407
2.9605136,171.626868,176.898915,190.274968,197.401846,204.299498,171.626868,204.299498
2.9697085,171.698388,177.073137,190.457737,197.598868,204.397344,171.698388,204.397344
2.9789319,171.767777,177.246962,190.640327,197.797096,204.49495,171.767777,204.49495
2.9881841,171.835009,177.418845,190.822742,197.996558,204.592318,171.835009,204.592318
2.9974649,171.900056,177.468315,191.004977,198.197275,204.689449,171.900056,204.689449
3.0067746,171.963105,177.506347,191.166336,198.376957,204.794522,171.963105,204.794522
3.0161132,172.024592,177.539129,191.319508,198.548585,204.902043,172.024592,204.902043
3.0254808,172.084511,177.569967,191.472209,198.720374,205.008885,172.084511,205.008885
3.0348775,172.142844,177.598855,191.624434,198.892332,205.115043,172.142844,205.115043
3.0443033,172.199572,177.625784,191.776177,199.064463,205.220513,172.199572,205.220513
3.0537585,172.25468,177.650749,191.927437,199.236776,205.325291,172.25468,205.325291
3.063243,172.308145,177.673739,192.078205,199.409273,205.429372,172.308145,205.429372
3.072757,172.359951,177.694749,192.228479,199.581964,205.532751,172.359951,205.532751
3.0823005,172.410079,177.713773,192.378253,199.754851,205.635423,172.410079,205.635423
