arm,color,label,lw,segment,x_disp,y_disp
3-kpc,#1a78b4,3 kpc Arm,2.4,display,-3.0091488,-8.7306714
3-kpc,#1a78b4,3 kpc Arm,2.4,display,-3.0130472,-8.7132395
3-kpc,#1a78b4,3 kpc Arm,2.4,display,-3.0168451,-8.6957776
3-kpc,#1a78b4,3 kpc Arm,2.4,display,-3.0205423,-8.6782863
3-kpc,#1a78b4,3 kpc Arm,2.4,display,-3.0241387,-8.6607661
3-kpc,#1a78b4,3 kpc Arm,2.4,display,-3.0276339,-8.6432176
3-kpc,#1a78b4,3 kpc Arm,2.4,display,-3.0310279,-8.6256414
3-kpc,#1a78b4,3 kpc Arm,2.4,display,-3.0343203,-8.608038
3-kpc,#1a78b4,3 kpc Arm,2.4,display,-3.037511,-8.5904082
3-kpc,#1a78b4,3 kpc Arm,2.4,display,-3.0405998,-8.5727523
3-kpc,#1a78b4,3 kpc Arm,2.4,display,-3.0435865,-8.5550711
3-kpc,#1a78b4,3 kpc Arm,2.4,display,-3.0464709,-8.5373651
3-kpc,#1a78b4,3 kpc Arm,2.4,display,-3.0492529,-8.5196349
3-kpc,#1a78b4,3 kpc Arm,2.4,display,-3.0519321,-8.5018811
3-kpc,#1a78b4,3 kpc Arm,2.4,display,-3.0545085,-8.4841043
3-kpc,#1a78b4,3 kpc Arm,2.4,display,-3.0569819,-8.4663051
3-kpc,#1a78b4,3 kpc Arm,2.4,display,-3.0593521,-8.448484
3-kpc,#1a78b4,3 kpc Arm,2.4,display,-3.061619,-8.4306417
3-kpc,#1a78b4,3 kpc Arm,2.4,display,-3.0637823,-8.4127788
3-kpc,#1a78b4,3 kpc Arm,2.4,display,-3.0658419,-8.3948958
3-kpc,#1a78b4,3 kpc Arm,2.4,display,-3.0677976,-8.3769934
3-kpc,#1a78b4,3 kpc Arm,2.4,display,-3.0696493,-8.3590721
3-kpc,#1a78b4,3 kpc Arm,2.4,display,-3.0713969,-8.3411326
3-kpc,#1a78b4,3 kpc Arm,2.4,display,-3.0730401,-8.3231755
3-kpc,#1a78b4,3 kpc Arm,2.4,display,-3.0745789,-8.3052013
3-kpc,#1a78b4,3 kpc Arm,2.4,display,-3.0760131,-8.2872107
3-kpc,#1a78b4,3 kpc Arm,2.4,display,-3.0773425,-8.2692043
3-kpc,#1a78b4,3 kpc Arm,2.4,display,-3.078567,-8.2511826
3-kpc,#1a78b4,3 kpc Arm,2.4,display,-3.0796865,-8.2331464
3-kpc,#1a78b4,3 kpc Arm,2.4,display,-3.0807009,-8.2150961
3-kpc,#1a78b4,3 kpc Arm,2.4,display,-3.08161,-8.1970325
3-kpc,#1a78b4,3 kpc Arm,2.4,display,-3.0824138,-8.1789561
3-kpc,#1a78b4,3 kpc Arm,2.4,display,-3.083112,-8.1608675
3-kpc,#1a78b4,3 kpc Arm,2.4,display,-3.0837046,-8.1427674
3-kpc,#1a78b4,3 kpc Arm,2.4,display,-3.0841914,-8.1246563
3-kpc,#1a78b4,3 kpc Arm,2.4,display,-3.0845724,-8.1065349
3-kpc,#1a78b4,3 kpc Arm,2.4,display,-3.0848475,-8.0884038
3-kpc,#1a78b4,3 kpc Arm,2.4,display,-3.0850165,-8.0702636
3-kpc,#1a78b4,3 kpc Arm,2.4,display,-3.0850794,-8.0521149
3-kpc,#1a78b4,3 kpc Arm,2.4,display,-3.085036,-8.0339584
3-kpc,#1a78b4,3 kpc Arm,2.4,display,-3.0848863,-8.0157946
3-kpc,#1a78b4,3 kpc Arm,2.4,display,-3.0846302,-7.9976242
3-kpc,#1a78b4,3 kpc Arm,2.4,display,-3.0842676,-7.9794478
3-kpc,#1a78b4,3 kpc Arm,2.4,display,-3.0837984,-7.961266
3-kpc,#1a78b4,3 kpc Arm,2.4,display,-3.0832226,-7.9430794
3-kpc,#1a78b4,3 kpc Arm,2.4,display,-3.08254,-7.9248888
3-kpc,#1a78b4,3 kpc Arm,2.4,display,-3.0817507,-7.9066946
3-kpc,#1a78b4,3 kpc Arm,2.4,display,-3.0808545,-7.8884975
3-kpc,#1a78b4,3 kpc Arm,2.4,display,-3.0798514,-7.8702982
3-kpc,#1a78b4,3 kpc Arm,2.4,display,-3.0787413,-7.8520972
3-kpc,#1a78b4,3 kpc Arm,2.4,display,-3.0775241,-7.8338952
3-kpc,#1a78b4,3 kpc Arm,2.4,display,-3.0761999,-7.8156928
3-kpc,#1a78b4,3 kpc Arm,2.4,display,-3.0747686,-7.7974907
3-kpc,#1a78b4,3 kpc Arm,2.4,display,-3.0732301,-7.7792894
3-kpc,#1a78b4,3 kpc Arm,2.4,display,-3.0715844,-7.7610896
3-kpc,#1a78b4,3 kpc Arm,2.4,display,-3.0698315,-7.742892
3-kpc,#1a78b4,3 kpc Arm,2.4,display,-3.0679713,-7.7246971
3-kpc,#1a78b4,3 kpc Arm,2.4,display,-3.0660037,-7.7065056
3-kpc,#1a78b4,3 kpc Arm,2.4,display,-3.0639289,-7.6883181
3-kpc,#1a78b4,3 kpc Arm,2.4,display,-3.0617467,-7.6701352
3-kpc,#1a78b4,3 kpc Arm,2.4,display,-3.0594571,-7.6519576
3-kpc,#1a78b4,3 kpc Arm,2.4,display,-3.0570602,-7.6337859
3-kpc,#1a78b4,3 kpc Arm,2.4,display,-3.0545559,-7.6156208
3-kpc,#1a78b4,3 kpc Arm,2.4,display,-3.0519442,-7.5974628
